Account Name,End User ID,Date (UTC),Question Date & Time (UTC),Survey Name,Survey ID,Question,Answer,Answer Freetext,User Name,User Type,User Role,User Status,User Info,Number of Survey Submittals,Number of Survey Plays
shhc,shhc_E1BAFBDB-F7C1-4CDB-9DB4-26817D1218C9,2023-12-13,2023-12-13 21:25:10,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,6,,2023-10-12T18:46:33.117Z,GeneralPractitioner,Practician,CA,BC,1,1
shhc,shhc_B79C2FF9-C55D-418D-84FE-DB1323C4DA64,2023-12-13,2023-12-13 02:01:41,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,0,,2023-07-19T17:04:29.093Z,MedicalOffice Assistant,Practician,CA,BC,1,1
shhc,shhc_474CCCC4-1282-4D35-813B-F9D8D7B69CFC,2023-12-13,2023-12-13 15:54:53,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,7,,2023-07-08T05:41:29.070Z,Specialist,Practician,CA,BC,1,1
shhc,shhc_B4559258-BDEC-4C50-85F5-37FB4666A24E,2023-12-13,2023-12-13 23:24:06,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,6,,2023-10-11T20:59:40.893Z,GeneralPractitioner,Practician,CA,BC,1,1
shhc,shhc_A0AA6592-300E-4C72-9ADD-93EAA7C5E24E,2023-12-13,2023-12-13 16:50:33,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,6,,2023-10-06T21:22:13.250Z,GeneralPractitioner,Practician,CA,BC,1,1
gmfujr,gmfujr_340EFF52-E3E5-4494-9DED-09ED8DDCA6E5,2023-12-13,2023-12-13 13:26:10,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,7,,2023-09-08T18:54:28.650Z,GeneralPractitioner,Practician,CA,QC,1,1
gmfujr,gmfujr_E522785E-8CC3-4FE6-9B0F-AA89A63A0213,2023-12-13,2023-12-13 14:01:10,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,5,,2023-09-06T21:24:29.750Z,GeneralPractitioner,Practician,CA,QC,1,1
petittrot,petittrot_49690EA0-739A-46AD-B6CB-96394592BF0A,2023-12-13,2023-12-13 12:44:09,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,8,,2023-09-05T14:03:34.093Z,MedicalOffice Assistant,Practician,CA,QC,1,1
ccomtl,ccomtl_828EE340-3F2E-4032-94B7-80412B06339C,2023-12-12,2023-12-12 16:44:00,Sondage Training  DT,95966,How likely are you to recommend MEDFAR to a colleague?,10,,2023-11-09T19:26:23.110Z,MedicalOffice Assistant,Practician,CA,QC,1,1
kebaowek,kebaowek_B1BBD65C-2DF9-4B3F-AFEE-6294F80BF77B,2023-12-12,2023-12-12 16:10:59,Sondage Training  DT,95966,How likely are you to recommend MEDFAR to a colleague?,7,,2023-11-27T14:01:23.517Z,MedicalOffice Assistant,Practician,CA,QC,1,1
