Id,AccountName,EndUserID,Date(UTC),QuestionDate&Time(UTC),QuestionDate&Time(Eastern),SurveyName,SurveyID,Answer,AnswerFreetext,UserName,UserType,UserRole,UserStatus,UserInfo,Question
1,cpdrummond,cpdrummond_793435FD-022C-4565-BACD-2630EAE83D71,2023-02-08,2023-02-08 12:53:29,2023-02-08 12:53:29,Sondage Training  DT,95966,Totalement satisfait(e),,2023-02-02T16:52:37.177Z,Nurse,Practician,CA,QC,"[jquery]title[/jquery], how satisfied are you with the training and the coaching given by the MEDFAR team during the transition to MYLE?"
2,cpdrummond,cpdrummond_7E641813-742E-4F8B-8561-EE5D3586B35A,2023-02-08,2023-02-08 13:01:26,2023-02-08 13:01:26,Sondage Training  DT,95966,Totalement satisfait(e),,2023-01-23T14:23:20.337Z,NursePractitioner,Practician,CA,QC,"[jquery]title[/jquery], how satisfied are you with the training and the coaching given by the MEDFAR team during the transition to MYLE?"
3,cpdrummond,cpdrummond_99857C39-9651-4E04-8CFC-7D29A1DC70FD,2023-02-08,2023-02-08 13:04:50,2023-02-08 13:04:50,Sondage Training  DT,95966,Satisfait(e),,2023-01-26T14:11:51.520Z,NursePractitioner,Practician,CA,QC,"[jquery]title[/jquery], how satisfied are you with the training and the coaching given by the MEDFAR team during the transition to MYLE?"
4,cpdrummond,cpdrummond_77849FA2-C950-4F16-913C-A5A600A248E6,2023-02-08,2023-02-08 13:19:07,2023-02-08 13:19:07,Sondage Training  DT,95966,Totalement satisfait(e),,2022-12-21T02:58:36.483Z,Doctor,Practician,CA,QC,"[jquery]title[/jquery], how satisfied are you with the training and the coaching given by the MEDFAR team during the transition to MYLE?"
5,cliniquelaferte,cliniquelaferte_4B5F7D5C-1CB8-4CE5-A412-D2053FE4928C,2023-02-13,2023-02-13 16:34:09,2023-02-13 16:34:09,Sondage Training  DT,95966,Totalement satisfait(e),,2023-01-09T19:21:56.370Z,Doctor,Practician,CA,QC,"[jquery]title[/jquery], how satisfied are you with the training and the coaching given by the MEDFAR team during the transition to MYLE?"
6,cliniquelaferte,cliniquelaferte_5CCFB541-EA97-4FA3-8E3E-26EF82EC2C86,2023-02-13,2023-02-13 19:27:45,2023-02-13 19:27:45,Sondage Training  DT,95966,Totalement satisfait(e),,2023-02-06T19:30:48.647Z,Nurse,Practician,CA,QC,"[jquery]title[/jquery], how satisfied are you with the training and the coaching given by the MEDFAR team during the transition to MYLE?"
7,cliniquelaferte,cliniquelaferte_A22F5A15-7B06-467A-899D-A905BDE3AE5F,2023-02-14,2023-02-14 12:53:48,2023-02-14 12:53:48,Sondage Training  DT,95966,Satisfait(e),,2023-02-01T18:43:13.320Z,Nurse,Practician,CA,QC,"[jquery]title[/jquery], how satisfied are you with the training and the coaching given by the MEDFAR team during the transition to MYLE?"
8,cliniquelaferte,cliniquelaferte_4B5F7D5C-1CB8-4CE5-A412-D2053FE4928C,2023-02-14,2023-02-14 13:09:55,2023-02-14 13:09:55,Sondage Training  DT,95966,Totalement satisfait(e),,2023-01-09T19:21:56.370Z,Doctor,Practician,CA,QC,"[jquery]title[/jquery], how satisfied are you with the training and the coaching given by the MEDFAR team during the transition to MYLE?"
9,cliniquelaferte,cliniquelaferte_A22F5A15-7B06-467A-899D-A905BDE3AE5F,2023-02-16,2023-02-16 13:15:04,2023-02-16 13:15:04,Sondage Training  DT,95966,Satisfait(e),,2023-02-01T18:43:13.320Z,Nurse,Practician,CA,QC,"[jquery]title[/jquery], how satisfied are you with the training and the coaching given by the MEDFAR team during the transition to MYLE?"
10,cliniquelaferte,cliniquelaferte_77849FA2-C950-4F16-913C-A5A600A248E6,2023-02-16,2023-02-16 16:36:47,2023-02-16 16:36:47,Sondage Training  DT,95966,Totalement satisfait(e),,2023-01-09T18:48:30.670Z,Doctor,Practician,CA,QC,"[jquery]title[/jquery], how satisfied are you with the training and the coaching given by the MEDFAR team during the transition to MYLE?"
