Id,AccountName,EndUserID,Date(UTC),QuestionDate&Time(UTC),QuestionDate&Time(Eastern),SurveyName,SurveyID,Answer,AnswerFreetext,UserName,UserType,UserRole,UserStatus,UserInfo,Question,Unnamed: 16
,ccomtl,ccomtl_F85EE4CE-8F98-4CB4-8B8E-C9296D177C5E,2023-12-14,2023-12-14 00:04:14.699,2023-12-13 20:04:14.699,Sondage Training  DT,95966,7,,2023-11-16T17:25:24.267Z,Specialist,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_6EB6BF71-4B5D-4CA1-AC6D-F0EB2FF828C3,2023-12-14,2023-12-14 00:35:04.481,2023-12-13 20:35:04.481,Sondage Produit Service Client,101436,7,,2023-11-17T18:42:23.600Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_714A79B4-8C12-4BCA-A1C9-A1A10290050C,2023-12-14,2023-12-14 06:22:33.621,2023-12-14 02:22:33.621,Sondage Produit Service Client,101436,7,,2023-07-16T18:20:18.367Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,arcelormittal,arcelormittal_DEC2490D-877E-4666-8C4C-53EBECD243A2,2023-12-14,2023-12-14 12:54:31.577,2023-12-14 08:54:31.577,Sondage Training  DT,95966,10,,2023-08-01T17:45:25.397Z,OtherProfession,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_E6C65481-3880-41B5-9FEE-C2DD0673C2CA,2023-12-14,2023-12-14 13:03:55.608,2023-12-14 09:03:55.608,Sondage Produit Service Client,101436,8,,2023-09-12T16:23:07.953Z,GeneralPractitioner,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_6D977465-ACE1-4997-A312-083084B54F30,2023-12-14,2023-12-14 16:48:03.733,2023-12-14 12:48:03.733,Sondage Produit Service Client,101436,7,,2023-07-09T00:23:15.973Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,arcelormittal,arcelormittal_AA151660-CA71-43F4-AF39-DCC1B96EEBE2,2023-12-14,2023-12-14 19:41:32.234,2023-12-14 15:41:32.234,Sondage Training  DT,95966,10,,2023-08-01T17:42:20.563Z,LicensedPractical Nurse,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,cmvictoriaville,cmvictoriaville_A7F96CB6-7556-4951-A208-D96B98277CD1,2023-12-01,2023-12-01 12:43:56,2023-12-01 08:43:56,Sondage Produit Service Client,101436,8,,2023-10-31T17:00:07.817Z,RegisteredNurse (Clinician),Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,cmvictoriaville,cmvictoriaville_5DD7F9E7-445D-486F-8425-D4561EFC27BC,2023-12-01,2023-12-01 13:00:52,2023-12-01 09:00:52,Sondage Produit Service Client,101436,9,,2023-10-02T12:22:48.673Z,RegisteredNurse (Clinician),Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,cmvictoriaville,cmvictoriaville_39596317-DA7B-4D7D-A3F2-6D981F786568,2023-12-01,2023-12-01 13:20:53,2023-12-01 09:20:53,Sondage Produit Service Client,101436,2,,2023-09-24T16:54:27.850Z,GeneralPractitioner,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,amc,amc_2CBFF622-C673-4C8A-ABFC-FD4CB585395A,2023-12-01,2023-12-01 13:32:07,2023-12-01 09:32:07,Sondage Produit Service Client,101436,1,,2023-09-18T16:13:50.143Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,whistler360health,whistler360health_C901B052-F5A1-41C1-A514-C5831F7C7192,2023-12-01,2023-12-01 16:17:41,2023-12-01 12:17:41,Sondage Training  DT,95966,6,,2023-11-01T04:25:15.477Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,whistler360health,whistler360health_DB728D34-6142-4E1F-AC50-8624918E9188,2023-12-01,2023-12-01 16:25:22,2023-12-01 12:25:22,Sondage Training  DT,95966,2,,2023-11-06T19:20:22.857Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,whistler360health,whistler360health_8A70A21C-DCC7-489E-826A-3A633F1C6186,2023-12-01,2023-12-01 16:45:05,2023-12-01 12:45:05,Sondage Training  DT,95966,8,,2023-11-06T19:27:08.803Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,cmmascouche,cmmascouche_2B14D149-34C1-4A5E-AE2F-22D692789F02,2023-12-01,2023-12-01 21:57:32,2023-12-01 17:57:32,Sondage Produit Service Client,101436,5,,2023-09-27T22:18:37.327Z,MedicalOffice Assistant,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,chanclinic,chanclinic_D4EE40EF-DA62-4A09-B179-C99B4527D6F5,2023-12-02,2023-12-02 03:54:43,2023-12-01 23:54:43,Sondage Produit Service Client,101436,3,,2023-09-27T21:28:51.820Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
