AccountName,AnalyticsPropertyStatus,UserID,SurveyID,Question,UsersViewedSurveys,UsersSubmittedSurveys
amc,CA,amc_15845FDB-5DA8-41EF-AD48-818132CA331D,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
amc,CA,amc_222FC9F6-5817-4016-AD32-F6C9DF03D08C,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
amc,CA,amc_510F05FD-B6FD-4499-847C-116F3B054E5B,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
amc,CA,amc_AD98F8DB-3F90-4BD6-B2B3-6EF3F6BE50B5,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
amc,CA,amc_C03D16AA-6CA5-408D-9E50-0005897C86B8,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
amc,CA,amc_C4EF60D1-BB15-4C7A-ADA6-6CAD879DA970,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
jpl,CA,jpl_C8539F43-9816-4B09-88E3-D52A66E9AD73,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cchc,CA,cchc_0B8ECB56-505A-4C91-9AA9-0E5E90010008,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cvhc,CA,cvhc_0ED4A989-F255-425A-B1C7-ADDD56D51E06,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cvhc,CA,cvhc_13E50BCD-C7C6-4A56-A46D-A24963F31B01,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cvhc,CA,cvhc_E59B454D-A691-46E5-8B1E-481C6D6C28E0,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cvhc,CA,cvhc_F7A7A593-7F4C-49D7-A3EA-9C2DF3C0B94C,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
drpp,CA,drpp_502DF547-C8D4-4C0E-8189-22EA1A27B39D,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
drpp,CA,drpp_B303FADE-B66E-47B1-9244-7854EF171B6A,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
ccsmtl,CA,ccsmtl_0A073645-0594-406F-9B07-DC527F77D587,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
ccsmtl,CA,ccsmtl_3D1EDFB5-2BFF-46AF-A8F5-F85C8F54C3C9,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
ccsmtl,CA,ccsmtl_5D772AEA-CF10-4CB7-832D-E0181304A44E,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
ccsmtl,CA,ccsmtl_953C388F-FFFE-4681-BE75-726A3725FE4E,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
ccsmtl,CA,ccsmtl_9852A46F-6030-4A4D-835A-746FE9BC3314,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
ccsmtl,CA,ccsmtl_ABC715A7-92C7-4A77-BCAC-89534A5D31F1,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
ccsmtl,CA,ccsmtl_D22179E0-4D2E-4DE2-871C-E11935DD1F9C,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
ccsmtl,CA,ccsmtl_EAB7972C-02C0-41BF-B692-CBECDB3E8CF5,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
ccsmtl,CA,ccsmtl_EACB4780-79BF-488E-9E13-B42D4638F607,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
ccsmtl,CA,ccsmtl_F093B15B-1E06-4787-9EB9-6764843B57BF,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
ccsmtl,CA,ccsmtl_F708FE2D-62F0-40CF-8251-A1C6C1DBEAB2,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
gmfrds,CA,gmfrds_2B1FF1BB-4135-4B0A-B524-2D22EA1EF8B2,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
gmfrds,CA,gmfrds_30022EC5-566F-496E-BB83-A6B4C77F18C3,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
gmfrds,CA,gmfrds_C2CD04B0-8924-4EAB-AE10-824246079696,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
gmfrds,CA,gmfrds_E2F66AA3-B569-4AE3-B69C-E309E96C1806,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
gmfrds,CA,gmfrds_E77D9C38-34A6-45ED-B0DA-522D30E40864,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
gmfrds,CA,gmfrds_FA694BCC-F0EA-49B9-AABC-9D90F0D3CFE4,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cmfthja,CA,cmfthja_F7FDF0DF-4E74-4761-8B56-BE63DF92ECA0,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
expertmed,CA,expertmed_0987768E-D2B6-4C93-B944-45DD2478570D,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
chanclinic,CA,chanclinic_8D4C2027-8224-4A20-879B-9F9415725800,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cmmascouche,CA,cmmascouche_15EB2717-21EB-4610-A425-EEA547D19881,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cmmascouche,CA,cmmascouche_3E24B8B3-4708-4009-985D-F5CA1A0B54D8,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cmmascouche,CA,cmmascouche_793C337F-673E-4D00-993A-0F2DCEB34BD8,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cmmascouche,CA,cmmascouche_7D122850-240E-4458-A834-7F08305CB6D9,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cmmascouche,CA,cmmascouche_A5425561-FD44-467C-8B93-7FB3DCEBB201,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cmmascouche,CA,cmmascouche_A5870C43-BBA6-4239-B359-B34B717B3A07,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cmmascouche,CA,cmmascouche_B36A499A-918D-4950-86D0-71F5B491832F,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cmmascouche,CA,cmmascouche_B612D88A-691B-4C57-B5F4-78FDEEDA54CD,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cmmascouche,CA,cmmascouche_B9389D3A-B031-4BE6-A73A-CDF97EBE046F,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
cmmascouche,CA,cmmascouche_C2CCA8E8-4DBE-4FD5-BA41-4DEDEDEFAA42,101436,"[jquery]title[/jquery], how satisfied are you with the MYLE product?",0,1
